id,level,chapter,section,requirement,applicability,rationale,control,verification_method,evidence,result,gap
v5.0.0-5.2.1,1,File Handling,File Upload and Content,Verify that the application will only accept files of a size which it can process without causing a loss of performance or a denial of service attack.,APPLICABLE,Requirement applies to the File Upload and Content surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.2.2,1,File Handling,File Upload and Content,"Verify that when the application accepts a file, either on its own or within an archive such as a zip file, it checks if the file extension matches an expected file extension and validates that the contents correspond to the type represented by the extension. This includes, but is not limited to, checking the initial 'magic bytes', performing image re-writing, and using specialized libraries for file content validation. For L1, this can focus just on files which are used to make specific business or security decisions. For L2 and up, this must apply to all files being accepted.",APPLICABLE,Requirement applies to the File Upload and Content surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.2.3,2,File Handling,File Upload and Content,"Verify that the application checks compressed files (e.g., zip, gz, docx, odt) against maximum allowed uncompressed size and against maximum number of files before uncompressing the file.",APPLICABLE,Requirement applies to the File Upload and Content surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.2.4,3,File Handling,File Upload and Content,"Verify that a file size quota and maximum number of files per user are enforced to ensure that a single user cannot fill up the storage with too many files, or excessively large files.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the File Upload and Content surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,L3 not verified; no L3 claim. Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.2.5,3,File Handling,File Upload and Content,Verify that the application does not allow uploading compressed files containing symlinks unless this is specifically required (in which case it will be necessary to enforce an allowlist of the files that can be symlinked to).,APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the File Upload and Content surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,L3 not verified; no L3 claim. Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.2.6,3,File Handling,File Upload and Content,"Verify that the application rejects uploaded images with a pixel size larger than the maximum allowed, to prevent pixel flood attacks.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the File Upload and Content surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,L3 not verified; no L3 claim. Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.3.1,1,File Handling,File Storage,"Verify that files uploaded or generated by untrusted input and stored in a public folder, are not executed as server-side program code when accessed directly with an HTTP request.",APPLICABLE,Uploaded content stored in private data directory; static server mounts only frontend/dist.,backend/main.py::file_download; backend/main.py::dist,Source/document review,backend/main.py::file_download; backend/main.py::dist,PASS,
v5.0.0-5.3.2,1,File Handling,File Storage,"Verify that when the application creates file paths for file operations, instead of user-submitted filenames, it uses internally generated or trusted data, or if user-submitted filenames or file metadata must be used, strict validation and sanitization must be applied. This is to protect against path traversal, local or remote file inclusion (LFI, RFI), and server-side request forgery (SSRF) attacks.",APPLICABLE,Requirement applies to the File Storage surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.3.3,3,File Handling,File Storage,"Verify that server-side file processing, such as file decompression, ignores user-provided path information to prevent vulnerabilities such as zip slip.",APPLICABLE,Outside L1/L2 release target; retained for completeness. Requirement applies to the File Storage surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,L3 not verified; no L3 claim. Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.4.1,2,File Handling,File Download,"Verify that the application validates or ignores user-submitted filenames, including in a JSON, JSONP, or URL parameter and specifies a filename in the Content-Disposition header field in the response.",APPLICABLE,Requirement applies to the File Download surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.4.2,2,File Handling,File Download,"Verify that file names served (e.g., in HTTP response header fields or email attachments) are encoded or sanitized (e.g., following RFC 6266) to preserve document structure and prevent injection attacks.",APPLICABLE,Requirement applies to the File Download surface; Parser bounds exist; archive/type/path combinations need wider adversarial tests.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,PARTIAL,Parser bounds exist; archive/type/path combinations need wider adversarial tests.
v5.0.0-5.4.3,2,File Handling,File Download,Verify that files obtained from untrusted sources are scanned by antivirus scanners to prevent serving of known malicious content.,APPLICABLE,No antivirus scanner is implemented; resource limits and structural checks are different controls.,backend/document_security.py; backend/pdf_worker.py; backend/main.py,Source review; additional requirement-specific verification required,backend/document_security.py; backend/pdf_worker.py; backend/main.py,FAIL,No antivirus scanner is implemented; resource limits and structural checks are different controls.
v5.0.0-6.1.1,1,Authentication,Authentication Documentation,"Verify that application documentation defines how controls such as rate limiting, anti-automation, and adaptive response, are used to defend against attacks such as credential stuffing and password brute force. The documentation must make clear how these controls are configured and prevent malicious account lockout.",APPLICABLE,"Requirement applies to the Authentication Documentation surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.1.2,2,Authentication,Authentication Documentation,"Verify that a list of context-specific words is documented in order to prevent their use in passwords. The list could include permutations of organization names, product names, system identifiers, project codenames, department or role names, and similar.",NOT APPLICABLE,No user-selected password policy; optional bearer secret remains a separate gap.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.1.3,2,Authentication,Authentication Documentation,"Verify that, if the application includes multiple authentication pathways, these are all documented together with the security controls and authentication strength which must be consistently enforced across them.",APPLICABLE,"Requirement applies to the Authentication Documentation surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.2.1,1,Authentication,Password Security,Verify that user set passwords are at least 8 characters in length although a minimum of 15 characters is strongly recommended.,NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.2,1,Authentication,Password Security,Verify that users can change their password.,NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.3,1,Authentication,Password Security,Verify that password change functionality requires the user's current and new password.,NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.4,1,Authentication,Password Security,"Verify that passwords submitted during account registration or password change are checked against an available set of, at least, the top 3000 passwords which match the application's password policy, e.g. minimum length.",NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.5,1,Authentication,Password Security,"Verify that passwords of any composition can be used, without rules limiting the type of characters permitted. There must be no requirement for a minimum number of upper or lower case characters, numbers, or special characters.",NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.6,1,Authentication,Password Security,"Verify that password input fields use type=password to mask the entry. Applications may allow the user to temporarily view the entire masked password, or the last typed character of the password.",NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.7,1,Authentication,Password Security,"Verify that ""paste"" functionality, browser password helpers, and external password managers are permitted.",NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.8,1,Authentication,Password Security,"Verify that the application verifies the user's password exactly as received from the user, without any modifications such as truncation or case transformation.",NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.9,2,Authentication,Password Security,Verify that passwords of at least 64 characters are permitted.,NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.10,2,Authentication,Password Security,Verify that a user's password stays valid until it is discovered to be compromised or the user rotates it. The application must not require periodic credential rotation.,NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.11,2,Authentication,Password Security,Verify that the documented list of context specific words is used to prevent easy to guess passwords being created.,NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.2.12,2,Authentication,Password Security,Verify that passwords submitted during account registration or password changes are checked against a set of breached passwords.,NOT APPLICABLE,"No user passwords, registration, password change or password database. APP_TOKEN is an optional externally supplied API bearer secret, separately assessed under generic authentication.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.3.1,1,Authentication,General Authentication Security,Verify that controls to prevent attacks such as credential stuffing and password brute force are implemented according to the application's security documentation.,APPLICABLE,No bearer-guessing rate limit or brute-force enforcement.,backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,FAIL,No bearer-guessing rate limit or brute-force enforcement.
v5.0.0-6.3.2,1,Authentication,General Authentication Security,"Verify that default user accounts (e.g., ""root"", ""admin"", or ""sa"") are not present in the application or are disabled.",APPLICABLE,No built-in root/admin/service user accounts in application schema.,backend/models.py; backend/main.py,Source/document review,backend/models.py; backend/main.py,PASS,
v5.0.0-6.3.3,2,Authentication,General Authentication Security,"Verify that either a multi-factor authentication mechanism or a combination of single-factor authentication mechanisms, must be used in order to access the application. For L3, one of the factors must be a hardware-based authentication mechanism which provides compromise and impersonation resistance against phishing attacks while verifying the intent to authenticate by requiring a user-initiated action (such as a button press on a FIDO hardware key or a mobile phone). Relaxing any of the considerations in this requirement requires a fully documented rationale and a comprehensive set of mitigating controls.",APPLICABLE,"Requirement applies to the General Authentication Security surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.3.4,2,Authentication,General Authentication Security,"Verify that, if the application includes multiple authentication pathways, there are no undocumented pathways and that security controls and authentication strength are enforced consistently.",APPLICABLE,"Requirement applies to the General Authentication Security surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.3.5,3,Authentication,General Authentication Security,"Verify that users are notified of suspicious authentication attempts (successful or unsuccessful). This may include authentication attempts from an unusual location or client, partially successful authentication (only one of multiple factors), an authentication attempt after a long period of inactivity or a successful authentication after several unsuccessful attempts.",APPLICABLE,"Outside L1/L2 release target; retained for completeness. Requirement applies to the General Authentication Security surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"L3 not verified; no L3 claim. Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.3.6,3,Authentication,General Authentication Security,Verify that email is not used as either a single-factor or multi-factor authentication mechanism.,APPLICABLE,"Outside L1/L2 release target; retained for completeness. Requirement applies to the General Authentication Security surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"L3 not verified; no L3 claim. Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.3.7,3,Authentication,General Authentication Security,"Verify that users are notified after updates to authentication details, such as credential resets or modification of the username or email address.",APPLICABLE,"Outside L1/L2 release target; retained for completeness. Requirement applies to the General Authentication Security surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"L3 not verified; no L3 claim. Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.3.8,3,Authentication,General Authentication Security,"Verify that valid users cannot be deduced from failed authentication challenges, such as by basing on error messages, HTTP response codes, or different response times. Registration and forgot password functionality must also have this protection.",APPLICABLE,"Outside L1/L2 release target; retained for completeness. Requirement applies to the General Authentication Security surface; Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user.",backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,"L3 not verified; no L3 claim. Optional static bearer secret lacks entropy policy, anti-brute-force and full lifecycle; loopback does not identify an OS user."
v5.0.0-6.4.1,1,Authentication,Authentication Factor Lifecycle and Recovery,"Verify that system generated initial passwords or activation codes are securely randomly generated, follow the existing password policy, and expire after a short period of time or after they are initially used. These initial secrets must not be permitted to become the long term password.",NOT APPLICABLE,"No account enrollment, initial-password distribution, password hints, recovery or MFA recovery mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.4.2,1,Authentication,Authentication Factor Lifecycle and Recovery,"Verify that password hints or knowledge-based authentication (so-called ""secret questions"") are not present.",NOT APPLICABLE,"No account enrollment, initial-password distribution, password hints, recovery or MFA recovery mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.4.3,2,Authentication,Authentication Factor Lifecycle and Recovery,"Verify that a secure process for resetting a forgotten password is implemented, that does not bypass any enabled multi-factor authentication mechanisms.",NOT APPLICABLE,"No account enrollment, initial-password distribution, password hints, recovery or MFA recovery mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.4.4,2,Authentication,Authentication Factor Lifecycle and Recovery,"Verify that if a multi-factor authentication factor is lost, evidence of identity proofing is performed at the same level as during enrollment.",NOT APPLICABLE,"No account enrollment, initial-password distribution, password hints, recovery or MFA recovery mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.4.5,3,Authentication,Authentication Factor Lifecycle and Recovery,"Verify that renewal instructions for authentication mechanisms which expire are sent with enough time to be carried out before the old authentication mechanism expires, configuring automated reminders if necessary.",NOT APPLICABLE,"No account enrollment, initial-password distribution, password hints, recovery or MFA recovery mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.4.6,3,Authentication,Authentication Factor Lifecycle and Recovery,"Verify that administrative users can initiate the password reset process for the user, but that this does not allow them to change or choose the user's password. This prevents a situation where they know the user's password.",NOT APPLICABLE,"No account enrollment, initial-password distribution, password hints, recovery or MFA recovery mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.1,2,Authentication,General Multi-factor authentication requirements,"Verify that lookup secrets, out-of-band authentication requests or codes, and time-based one-time passwords (TOTPs) are only successfully usable once.",NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.2,2,Authentication,General Multi-factor authentication requirements,"Verify that, when being stored in the application's backend, lookup secrets with less than 112 bits of entropy (19 random alphanumeric characters or 34 random digits) are hashed with an approved password storage hashing algorithm that incorporates a 32-bit random salt. A standard hash function can be used if the secret has 112 bits of entropy or more.",NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.3,2,Authentication,General Multi-factor authentication requirements,"Verify that lookup secrets, out-of-band authentication code, and time-based one-time password seeds, are generated using a Cryptographically Secure Pseudorandom Number Generator (CSPRNG) to avoid predictable values.",NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.4,2,Authentication,General Multi-factor authentication requirements,Verify that lookup secrets and out-of-band authentication codes have a minimum of 20 bits of entropy (typically 4 random alphanumeric characters or 6 random digits is sufficient).,NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.5,2,Authentication,General Multi-factor authentication requirements,"Verify that out-of-band authentication requests, codes, or tokens, as well as time-based one-time passwords (TOTPs) have a defined lifetime. Out of band requests must have a maximum lifetime of 10 minutes and for TOTP a maximum lifetime of 30 seconds.",NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.6,3,Authentication,General Multi-factor authentication requirements,Verify that any authentication factor (including physical devices) can be revoked in case of theft or other loss.,NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.7,3,Authentication,General Multi-factor authentication requirements,Verify that biometric authentication mechanisms are only used as secondary factors together with either something you have or something you know.,NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.5.8,3,Authentication,General Multi-factor authentication requirements,Verify that time-based one-time passwords (TOTPs) are checked based on a time source from a trusted service and not from an untrusted or client provided time.,NOT APPLICABLE,"No lookup secrets, OTP or TOTP mechanism.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.6.1,2,Authentication,Out-of-Band authentication mechanisms,"Verify that authentication mechanisms using the Public Switched Telephone Network (PSTN) to deliver One-time Passwords (OTPs) via phone or SMS are offered only when the phone number has previously been validated, alternate stronger methods (such as Time based One-time Passwords) are also offered, and the service provides information on their security risks to users. For L3 applications, phone and SMS must not be available as options.",NOT APPLICABLE,No telephone/SMS/out-of-band authentication mechanism.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.6.2,2,Authentication,Out-of-Band authentication mechanisms,"Verify that out-of-band authentication requests, codes, or tokens are bound to the original authentication request for which they were generated and are not usable for a previous or subsequent one.",NOT APPLICABLE,No telephone/SMS/out-of-band authentication mechanism.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.6.3,2,Authentication,Out-of-Band authentication mechanisms,Verify that a code based out-of-band authentication mechanism is protected against brute force attacks by using rate limiting. Consider also using a code with at least 64 bits of entropy.,NOT APPLICABLE,No telephone/SMS/out-of-band authentication mechanism.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.6.4,3,Authentication,Out-of-Band authentication mechanisms,"Verify that, where push notifications are used for multi-factor authentication, rate limiting is used to prevent push bombing attacks. Number matching may also mitigate this risk.",NOT APPLICABLE,No telephone/SMS/out-of-band authentication mechanism.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.7.1,3,Authentication,Cryptographic authentication mechanism,Verify that the certificates used to verify cryptographic authentication assertions are stored in a way protects them from modification.,NOT APPLICABLE,No cryptographic user authenticator or passkey mechanism.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.7.2,3,Authentication,Cryptographic authentication mechanism,"Verify that the challenge nonce is at least 64 bits in length, and statistically unique or unique over the lifetime of the cryptographic device.",NOT APPLICABLE,No cryptographic user authenticator or passkey mechanism.,Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.8.1,2,Authentication,Authentication with an Identity Provider,"Verify that, if the application supports multiple identity providers (IdPs), the user's identity cannot be spoofed via another supported identity provider (eg. by using the same user identifier). The standard mitigation would be for the application to register and identify the user using a combination of the IdP ID (serving as a namespace) and the user's ID in the IdP.",NOT APPLICABLE,"No identity provider, SAML or federated identity integration.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.8.2,2,Authentication,Authentication with an Identity Provider,"Verify that the presence and integrity of digital signatures on authentication assertions (for example on JWTs or SAML assertions) are always validated, rejecting any assertions that are unsigned or have invalid signatures.",NOT APPLICABLE,"No identity provider, SAML or federated identity integration.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.8.3,2,Authentication,Authentication with an Identity Provider,Verify that SAML assertions are uniquely processed and used only once within the validity period to prevent replay attacks.,NOT APPLICABLE,"No identity provider, SAML or federated identity integration.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-6.8.4,2,Authentication,Authentication with an Identity Provider,"Verify that, if an application uses a separate Identity Provider (IdP) and expects specific authentication strength, methods, or recentness for specific functions, the application verifies this using the information returned by the IdP. For example, if OIDC is used, this might be achieved by validating ID Token claims such as 'acr', 'amr', and 'auth_time' (if present). If the IdP does not provide this information, the application must have a documented fallback approach that assumes that the minimum strength authentication mechanism was used (for example, single-factor authentication using username and password).",NOT APPLICABLE,"No identity provider, SAML or federated identity integration.",Mechanism absent in reviewed architecture,"Route, dependency and implementation inventory review",backend/main.py; frontend/src/main.tsx,N/A,Reassess if this mechanism is introduced
v5.0.0-7.1.1,2,Session Management,Session Management Documentation,"Verify that the user's session inactivity timeout and absolute maximum session lifetime are documented, are appropriate in combination with other controls, and that the documentation includes justification for any deviations from NIST SP 800-63B re-authentication requirements.",APPLICABLE,Requirement applies to the Session Management Documentation surface; No managed sessions; browser optionally retains a static API bearer token; session-like lifecycle remains unimplemented.,backend/main.py; frontend/src/main.tsx,Source review; additional requirement-specific verification required,backend/main.py; frontend/src/main.tsx,PARTIAL,No managed sessions; browser optionally retains a static API bearer token; session-like lifecycle remains unimplemented.
